Opening,Opening.1,Title,Director,Cast,Production,Unnamed: 6,Studio,Ref,Casta
N O V,25.0,Agent Kannayiram,Manoj Beedha,,,,Labyrinth Films,[169],"Santhanam, Riya Suman, Pugazh"
N O V,25.0,Auto Is My Life,Shyju Parathadathil,,,,Revathy Films International,,"Rendev, Sneka, Kavitha, Bindu"
N O V,25.0,Kaari,Hemanth,,,,Prince Pictures,[170],"Sasikumar, Parvathy Arun, J. D. Chakravarthy"
N O V,25.0,Ottam,M. Muruhan,,,,Rikh Creations,,"Pradeep Varma, Aishwarya Shindogi, Sai Dheena"
N O V,25.0,Pattathu Arasan,A. Sarkunam,,,,Lyca Productions,[171],"Atharvaa, Rajkiran, Ashika Ranganath"
N O V,25.0,Powder,Vijay Sri G,,,,G Media,[172],"Vidya Pradeep, Nikil Murugan, Rajendran"
N O V,25.0,Thoppukaranam,Baskar Sinouvassane,,,,Budobas International Films,,"Gogen Naidu, Akshaya, Rishikeshwaran"
N O V,27.0,Coffee,Sai Krishna,,,,Om Cine Ventures,,"Iniya, Rahul Dev, Mugdha Godse"
D E C,2.0,DSP,Ponram,,,,Stone Bench Films,[173],"Vijay Sethupathi, Anukreethy Vas, Prabhakar"
D E C,2.0,Gatta Kusthi,Chella Ayyavu,,,,RT Team Works,[174],"Vishnu Vishal, Aishwarya Lekshmi, Karunas"
D E C,2.0,Manja Kuruvi,Arangan Chinnathambi,,,,VR Combines,[175],"Kishore, Neeraja, Rajanayagam"
D E C,2.0,Rivet,Arunkanth,,,,Pluto Media Works,[176],"Chaams, Santhana Bharathi, Uvesri"
D E C,2.0,Therkathi Veeran,Saarath,,,,Chandrababu Film Factory,[177],"Saarath, Anagha, Ashok Kumar, Kabir Duhan Singh"
D E C,9.0,Dha Dha,Guiness Kishore,,,,Any Time Money Films,,"Nithin Sathya, Gayatri Rema, Yogi Babu"
D E C,9.0,Dr. 56 [d],Rajesh Anandaleela,,,,Hari Hara Pictures,[178],"Priyamani, Praveen Reddy, Raj Deepak Shetty"
D E C,9.0,Estate,Karthik Vilvakrish,,,,Divine Productions,[179],"Ashok Selvan, Remya Nambeesan, Kalaiyarasan, Sunaina"
D E C,9.0,Evil,Jagan Aloysius,,,,Aryan Films,,"Vijay Akash, Nithya Raj, Jeeva"
D E C,9.0,Gurumoorthi,K. P. Tanasekar,,,,T Friends Talkies,[180],"Natty, Ramki, Poonam Bajwa, Sanjana Singh"
D E C,9.0,Naai Sekar Returns,Suraj,,,,Lyca Productions,[181],"Vadivelu, Sivaangi Krishnakumar, Redin Kingsley"
D E C,9.0,Rathasaatchi,Rafiq Ismail,,,,Magizh Mandram,[182],"Kanna Ravi, Elango Kumaravel, Harish Kumar"
D E C,9.0,Sree Raja Manikandan,Sanjay Manikandan,,,,Sri Sai Harish Productions,,"Dharma, Divya, Lollu Sabha Manohar"
D E C,9.0,Varalaru Mukkiyam,Santhosh Rajan,,,,Super Good Films,[183],"Jiiva, Kashmira Pardeshi, Pragya Nagra"
D E C,9.0,Witness,Deepak,,,,People Media Factory,[184],"Shraddha Srinath, Rohini, Subatra Robert"
D E C,16.0,181,Mohamad Issack,,,,Sairaj Film Works,[185],"Gemini Ryker, Reena Krishnan, Vijay Chanduru"
D E C,16.0,Camera Error,Agaran,,,,Vistar Entertainments,[186],"Agaran, Simran, Sudhir, Harini"
D E C,16.0,Katchikkaaran,P. Iyyappan,,,,PSK Productions,[187],"Vijith Saravanan, Swetha Dorathy, Appukutty"
D E C,16.0,Magalir Maanbu,Perundurai Guna,,,,Guna Films,,"Perundurai Guna, Ravi Kiran, Nancy"
D E C,22.0,Connect,Ashwin Saravanan,,,,Rowdy Pictures,[188],"Nayanthara, Sathyaraj, Vinay Rai"
D E C,22.0,Laththi,A. Vinoth Kumar,,,,Rana Productions,[189],"Vishal, Sunaina, Ramana"
D E C,23.0,Enjoy,Perumal Kasi,,,,LNH Creation,[190],"Madhan Kumar, Vignesh, Sai Dhanya"
D E C,23.0,Jasper,Yuvaraj D.,,,,Visvaroopi Film Corporation,[191],"Vivek Rajgopal, Aishwarya Dutta, Bala"
D E C,23.0,Mr Daddy,Arumugam Selvam,,,,First Copy Movie Makers,,"Appukutty, Namo Narayana, Pandi"
D E C,23.0,Nedu Neer,K. K. Padmanaban,,,,Kavin Creators,[192],"Raj Krish, Indhuja, Sathya Murugan"
D E C,23.0,Paasakaara Paya,Viveka Bharathi,,,,Khayan Pictures,[193],"Vignesh, Gayatri Rema, Sethupathi"
D E C,23.0,Peya Kaanom,Selva Anbarasan,,,,Global Entertainment,[194],"Tarun Gopi, Meera Mitun, Jaguar Thangam"
D E C,23.0,Project C (Chapter 2),Vno,,,,Shark Fin Studios,[195],"Sri, Vasudha Krishnamoorthy, Chaams"
D E C,30.0,Aruvaa Sanda,Aadhiraajan,,,,White Screen Production,[196],"V. Raja, Malavika Menon, Saranya, Aadukalam Naren"
D E C,30.0,College Road,Jai Amar Singh,,,,MP Entertainment,[197],"Lingesh, Monica Chinnakotla, Ananth Nag, Bommu Lakshmi"
D E C,30.0,Driver Jamuna,P. Kinslin,,,,18 Reels,[198],"Aishwarya Rajesh, Aadukalam Naren, Kavitha Bharathi"
D E C,30.0,Kadaisi Kadhal Kadhai,RKV,,,,S Cube Pictures,[199],"Akash Premkumar, Enakshi Ganguly, Pugazh"
D E C,30.0,Oh My Ghost,R. Yuvan,,,,White Horse Studios,[200],"Sunny Leone, Sathish, Yogi Babu, Dharsha Gupta"
D E C,30.0,Raangi,M. Saravanan,,,,Lyca Productions,[201],"Trisha, Anaswara Rajan, John Mahendran"
D E C,30.0,Sakunthalavin Kadhalan,P. V. Prasath,,,,Prasath Pictures,,"P. V. Prasath, Bhanu, Pasupathy"
D E C,30.0,Sembi,Prabhu Solomon,,,,Trident Arts,[202],"Kovai Sarala, Ashwin Kumar, Thambi Ramaiah"
D E C,30.0,Udanpaal,Karthik Seenivasan,,,,D Company,[203],"Linga, Gayathrie, Vivek Prasanna, Abarnathi"
