Opening,Opening.1,Title,Director,Cast,Production,Unnamed: 6,Studio,Ref,Casta
A P R,21.0,Oh My Dog,Sarov Shanmugam,"Arun Vijay, Arnav Vijay, Vinay Rai, Mahima Nambiar",,,2D Entertainment,[62],
A P R,28.0,Hostel,Sumanth Radhakrishnan,"Ashok Selvan, Priya Bhavani Shankar, Sathish",,,Trident Arts,[63],
A P R,28.0,Kaathuvaakula Rendu Kaadhal,Vignesh Shivan,"Vijay Sethupathi, Nayanthara, Samantha Ruth Prabhu",,,Rowdy Pictures,[64],
A P R,29.0,Amaichar,L. Muthukumaraswamy,"Jai Akash, Akshaya, Devika, Vijayakumar",,,Sree Amman Medias,,
A P R,29.0,Divya Meedhu Kadhal,Mathan,"Mathan, Nisha Shetty",,,Brilliant Movies,,
A P R,29.0,Kathir,Dhinesh Palanivel,"Venkatesh, Rajini Chandy, Santhosh Prathap, Bhavya Trikha",,,Dhuvaraga Studios,[65],
A P R,29.0,Payanigal Gavanikkavum,S. P. Shakthivel,"Vidharth, Karunakaran, Lakshmi Priyaa Chandramouli",,,All In Pictures,[66],
M A Y,6.0,Akka Kuruvi,Samy,"Master Maheen, Baby Daviya, V. S. Kumar",,,Madurai Muthu Movies,[67],
M A Y,6.0,Koogle Kuttappa,Sabari–Saravanan,"K. S. Ravikumar, Tharshan, Losliya",,,RK Celluloids,[68],
M A Y,6.0,Saani Kaayidham,Arun Matheswaran,"Keerthy Suresh, Selvaraghavan",,,Screen Scene Media Entertainment,[69],
M A Y,6.0,Thunikaram,Baala Sudan,"Semmalar Annam, Vinoth Logithasan, Bharani",,,A4 Media Works,[70],
M A Y,6.0,Visithiran,M. Padmakumar,"R. K. Suresh, Poorna, Madhu Shalini",,,B Studios,[71],
M A Y,12.0,Ayngaran,Ravi Arasu,"G. V. Prakash Kumar, Mahima Nambiar",,,Common Man Presents,[72],
M A Y,13.0,Don,Cibi Chakaravarthi,"Sivakarthikeyan, Priyanka Arul Mohan, S. J. Suryah",,,Lyca Productions,[73],
M A Y,13.0,Ranga,Vinod DL,"Sibi Sathyaraj, Nikhila Vimal, Sathish",,,Boss Movies,[74],
M A Y,20.0,Nenjuku Needhi,Arunraja Kamaraj,"Udhayanidhi Stalin, Aari Arujunan, Tanya Ravichandran",,,Bayview Projects,[75],
M A Y,20.0,Paruva Kadhal,K. Ravi,"Kalingarayan, R. Sundarrajan, Bonda Mani",,,Ram Film Productions,,
M A Y,20.0,Take Diversion,Sivaani Senthil,"Sivakumar, Padine Kumar, John Vijay",,,Sivaani Studios,[76],
M A Y,27.0,Chota,Siranjeevi,"Sanjeevi, Poornima Ravi, Vivek Prasanna",,,Sri Punniyavathi Ammal Films,,
M A Y,27.0,Grandma,Shijinlal S. S.,"Sonia Agarwal, Vimala Raman, Hemanth Menon",,,GMA Films,[77],
M A Y,27.0,Patravan,Sikkal Rajesh,"Ashwin, Bhuvana, Anu Ragavi",,,Sathiya Sutha Creations,,
M A Y,27.0,Pothanur Thabal Nilayam,Praveen,"Praveen, Anjali Rao, Venkat Sundar",,,Passion Studios,[78],
M A Y,27.0,Seththumaan,Thamizh,"Manickam, Ashwin Shiva, Prasanna Balachandra",,,Neelam Productions,[79],
M A Y,27.0,Uzhaikkum Kaigal,Namakkal MGR,"Namakkal MGR, Kiranmai, Jaguar Thangam",,,K Empire Movies,[80],
M A Y,27.0,Vaaitha,Mahivarman C. S.,"Nassar, Mu Ramaswamy, Pugazh Mahendran",,,Varaha Swamy Films,[81],
M A Y,27.0,Vishamakaran,V,"V, Anicka Vikhraman, Chaitra Reddy",,,Honey Frame Works,[82],
