Opening,Opening.1,Title,Director,Cast,Genre,Producer,Ref
J U N,5,Dhegam Sudukuthu,K. P. Ganesh,"Vijay Kumar, Kalyani",Adult,KCV Films,[46]
J U N,5,Kaaka Muttai,M. Manikandan,"Vignesh, Ramesh, Aishwarya Rajesh",Comedy drama,Wunderbar Films Grass Root Film Company,[46]
J U N,5,Kathamma,M. D. Sukumaran,"Biju, Aathira, Ashok Raj, Shivaji Mallika",Drama,Bougainvillea Films,[46]
J U N,5,Puriyadha Anandam Puthithaga Arambam,Syed Ibrahim,"Krish, Srushti Dange",Romance,Rowther Films,[46]
J U N,12,Inimey Ippadithan,Muruganand,"Santhanam, Ashna Zaveri, Akhila Kishore",Comedy,Handmade Films,[47]
J U N,12,Romeo Juliet,Lakshman,"Jayam Ravi, Hansika Motwani",Romantic comedy,Madras Enterprises,[47]
J U N,19,Achaaram,Mohan Krishna,"Ganesh Venkatraman, Munna, Poonam Kaur",Crime thriller,Dhaaru Nisha Movies,[48]
J U N,19,Eli,Yuvaraj Dhayalan,"Vadivelu, Sadha, Pradeep Rawat",Spy comedy,City Cine Creations,[48]
J U N,19,Iru Kadhal Oru Kadhai,P. Panneerselvam,"Jana, Anu Krishna",Romance,TJ Movies,[48]
J U N,19,Iyakkunar,Rajath,"Rajath, Ashmitha, Risha, Shruti Swastika",Comedy,Jayalakshmi Golden Jubilee Films,[48]
J U N,26,Indru Netru Naalai,Ravi Kumar R.,"Vishnu, Miya, Karunakaran",Science-fiction comedy,Thirukumaran Entertainment,[49]
J U N,26,Kaaval,Nagendran R.,"Vimal, Samuthirakani, 'Punnagai Poo' Gheetha",Action,SG Films,[49]
J U N,26,Lodukku Pandi,Rajneesh,"Karunas, Neha Saxena",Comedy,G Pictures,[49]
J U N,26,Moone Moonu Varthai,Madhumitha,"Arjun Chidambaram, Aditi Chengappa, Venkatesh Harinathan",Romantic comedy,Capital Film Works,[49]
J U N,26,Yagavarayinum Naa Kaakka,Sathya,"Aadhi, Nikki Galrani, Mithun Chakraborty, Richa Pallod",Action drama,Adharsha Chitralaya,[49]
J U L,3,Baby,D. Suresh,"Manoj K. Bharathi, Shira Gaarg, Baby Sathanya, Srivarshini",Horror,RK Entertainers,[50]
J U L,3,Oru Thozhan Oru Thozhi,P. Mohan,"Meenesh Krishna, Mano Deepan, Asthra, Abinitha",Romance,Ghantharvaa Celluloids Creators,[50]
J U L,3,Palakkattu Madhavan,M. Chandramohan,"Vivek, Sonia Agarwal, Sheela",Comedy drama,ABC Dreams,[50]
J U L,3,Papanasam,Jeethu Joseph,"Kamal Haasan, Gautami, Niveda Thomas, Asha Sarath",Drama-thriller,Wide Angle Creations Raj Kumar Theatres,[50]
J U L,3,Paranjothi,Gopu Balaji,"Sarathy Natesan, Ansiba Hassan, Vijayakumar",Drama,IPL Cinemas,[50]
J U L,10,Baahubali: The Beginning,S. S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah",Epic / History,Arka Media Works,[51][52]
J U L,10,Kamaraj,A. Balakrishnan,"Richard Madhuram, Samuthirakani, Sambathraj Sumant, Mahendran",Biography,Ramana Communications,[52]
J U L,10,Ore Oru Raja Mokkaraja,Sathosh Gopal,"Sanjeev Kumar, Ranjith, Rajendran",Action,Devakala Films,[52]
J U L,10,Maharani Kottai,Vinod Kumar,"Richard Rishi, Aani Princy, Ashwin Raja, Ganja Karuppu",Horror,Thanamalar Creations,[52]
J U L,10,Miss Pannidatheenga Appuram Varuthapaduveenga,K. Saravanan,"Suresh Kumar, Pandiarajan, Livingston, Crane Manohar",Comedy,Jamna Films International,[52]
J U L,17,Maari,Balaji Mohan,"Dhanush, Kajal Aggarwal, Vijay Yesudas",Action Masala,"Magic Frames, Wunderbar Films",[53]
J U L,24,Naalu Policeum Nalla Irundha Oorum,N. J. Srikrishna,"Arulnithi, Remya Nambeesan, Singampuli",Comedy,JSK Film Corporation,[54]
J U L,24,Aavi Kumar,Kandeepan,"Udhaya, Kanika Tiwari",Supernatural thriller,Volmart Films,[54]
J U L,24,Guru Sukran,Anand,"Guru, Kamalnath, Satna Titus, Tripura, Aadukalam Naren",Action,Guru Kamalam Associates,[54]
J U L,31,Idhu Enna Maayam,A. L. Vijay,"Vikram Prabhu, Navdeep, Keerthy Suresh, Kavya Shetty",Romantic comedy,"Magic Frames, Think Big Studios",[55]
J U L,31,Orange Mittai,Biju Viswanath,"Vijay Sethupathi, Ramesh Thilak, Aashritha",Comedy drama,Vijay Sethupathi Productions,[55]
J U L,31,Sakalakala Vallavan,Suraj,"Jayam Ravi, Trisha, Anjali, Soori",Masala,Lakshmi Movie Makers,[55]
A U G,7,Azhage Illatha Azhagana Kathai,Swaminathan,Vijaya Prakash,Drama,SSS Creations,[56]
