Opening,Opening.1,Title,Director,Cast,Genre,Producer,Ref,Production Studio
S E P,5.0,Pattaya Kelappanum Pandiya,S. P. Rajkumar,"Vidharth, Manisha Yadav",Comedy,,[46],Mutiara Films International
S E P,5.0,Poriyaalan,Thanukumar,"Harish Kalyan, Anandhi",Drama,,[46],A Grassroot Film Company
S E P,5.0,Valiyudan Oru Kadhal,Sanjeevan,"Kevin, Gowri Nambiar, Rajesh, Uma",Romance,,[46],Matha's Blessing Studios
S E P,12.0,Burma,Dharanidharan,"Michael Thangadurai, Reshmi Menon, Atul Kulkarni, Sampath Raj",Comedy thriller,,[47],Square Stone Films
S E P,12.0,Sigaram Thodu,Gaurav,"Vikram Prabhu, Monal Gajjar, Sathyaraj",Action,,[47],UTV Motion Pictures
S E P,12.0,Vachikava,Rabi,"Manickavel, Priyanka",Romance,,[47],Nalinaa Cine Circuit
S E P,12.0,Vanavarayan Vallavarayan,Rajmohan,"Kreshna, Makapa Anand, Monal Gajjar",Comedy drama,,[47],Mahalakhsmi Movies Zero Rules Entertainment
S E P,19.0,Aadama Jaichomada,Badri,"Karunakaran, Bobby Simha, Vijayalakshmi",Comedy,,[48],B&C Films
S E P,19.0,Aal,Anand Krishna,"Vidharth, Hardika Shetty",Thriller,,[48],Shoundaryan Pictures
S E P,19.0,Aranmanai,Sundar C.,"Sundar C., Vinay, Andrea Jeremiah, Lakshmi Rai, Hansika Motwani",Horror comedy,,[48],Vision Medias
S E P,19.0,Maindhan,Kumaresan,"Kumaresan, Shaila Nair, Hanuman, Geetha",Drama,,[48],CK Films
S E P,19.0,Rettai Vaalu,Desika,"Akhil, Saranya Nag",Drama,,[48],Pranav Productions
S E P,19.0,Tamilselvanum 50KM Kalaiselviyum,P. Pandiyan,"Rajesh, Kalai Anamika, Mahendran, Dilsha",Romance,,[48],Mayil Mass Media
S E P,26.0,Ambel Jhoot,Divakar,"Hashmitha Reddy, Libin",Action,,[49],Jaystar Productions
S E P,26.0,Jeeva,Suseenthiran,"Vishnu, Sri Divya, Soori",Sports drama,,[49],"The Show People, The Next Big Film, Vennila Kabadi Team Productions"
S E P,26.0,Madras,Pa. Ranjith,"Karthi, Catherine Tresa, Kalaiarasan",Drama,,[49],Studio Green
S E P,26.0,Thalaikkonam,Padmaraj,"Jithesh, Riya",Drama,,[49],S Productions
O C T,2.0,Naan Ponnu Ondru Kanden,Sanjeev Srinivas,"Ashwinraj, Vidarsha",Romance,,[50],Force Cinemas
O C T,2.0,Theriyama Unna Kadhalichitten,K. Ramu,"Vijay Vasanth, Rasna",Romance,,[50],Triple V Records
O C T,2.0,Yaan,Ravi K. Chandran,"Jiiva, Thulasi Nair",Action,,[50],R. S. Infotainment
O C T,10.0,Aalamaram,S. N. Duraisingh,"Hemanth Kumar, Avanthika Mohan",Horror,,[51],Peacock Motion Picture
O C T,10.0,Gubeer,Thilip,"Thilip, Ravi, Prabhu, Prathap",Comedy,,[51],Archer Cinemas
O C T,10.0,Jamaai,M. Jayakumar,"Naveen, Udhaya, Vaijayanthi, Nivisha",Romance,,[51],Classic Cine Circuit
O C T,10.0,Kurai Ondrum Illai,Karthik Ravi,"Geethan Britto, Haritha Parokod",Drama,,[51],Pathway Productions
O C T,10.0,Muyal,Guhan,"Murali, Saranya Nag, Shivani, Aishwarya",Drama,,[51],P&V Entertainment
O C T,10.0,Nee Naan Nizhal,John Robinson,"Arjun Lal, Ishitha, Sarath Kumar",Thriller,,[51],Sri Muthuramman Pictures
