Opening,Opening.1,Title,Director,Actors,Genre,Notes,Ref,Cast
D E C,16,Mambattiyan,Thyagarajan,,Action,Produced by Lakshmi Shanthi Movies,,"Prashanth, Meera Jasmine, Mumaith Khan"
D E C,16,Uchithanai Muharnthaal,Pughazhendi Thangaraj,,Drama,Produced by Global Media & Entertainment,,"Neenika, Sathyaraj, Seeman, Sangeetha"
D E C,16,Mouna Guru,Shantha Kumar,,Action,Produced by Mohana Movies,,"Arulnithi, Iniya, John Vijay, Uma Riyaz Khan"
D E C,23,Rajapattai,Suseenthiran,,Action-masala,Produced by PVP Cinema,[58],"Vikram, Deeksha Seth, K. Vishwanath"
D E C,30,Mahaan Kanakku,Sampath,,,,[59],"Ramana, Reecha Sinha"
D E C,30,Maharaja,Manoharan,,Comedy,,[59],"Sathya, Anjali, Nassar, Anita Hassanandani"
D E C,30,Paavi,,,,,[59],
D E C,30,Padhinettan Kudi Ellai Arambam,N. Sundareswaran,,Romance,Produced by SMS Talkies,[59],"Prithvi Rajan, Srinisha"
D E C,30,Karuthakannan Rekla Race,,,,,[59],
D E C,30,Vazhividu Kanney Vazhividu,,,,,[59],
D E C,,,,,,,,
