Opening,Opening.1,Title,Director,Cast,Production,Ref(s),Studio
J U N,23,Paayum Oli Nee Yenakku,Karthik Adwait,"Vikram Prabhu, Vani Bhojan, Dhananjay",Karrthik Movie House,[102],
J U N,23,Regina,Domin D'Silva,"Sunainaa, Ananth Nag, Vivek Prasanna",Yellow Bear Productions,[103],
J U N,23,Thalainagaram 2,V. Z. Durai,"Sundar C., Pallak Lalwani, Thambi Ramaiah",Right Eye Theatres,[104],
J U N,23,Thandatti,Ram Sangaiah,"Pasupathy, Rohini, Vivek Prasanna",Prince Pictures,[105],
J U N,29,Maamannan,Mari Selvaraj,"Vadivelu, Udhayanidhi Stalin, Fahadh Faasil, Keerthy Suresh",Red Giant Movies,[106],
J U N,30,Kabadi Bro,Sathish Jayaraman,"Sujann, Priyaa Lal, Singampuli",Anjhana Cinemas,[107],
J U N,30,Kandathai Padikaathey,Jothi Murugan,"Adhithya, Aryan Ravi, Vaishali Thaniga",BM Bully Movies,[108],
J U N,30,Salmon 3D,Shalil Kallur,"Vijay Yesudas, Jonita Doda, Rajiv Pillai",MJS Media,[109],
J U L,7,Bumper,M. Selvakumar,"Vetri, Shivani Narayanan, Hareesh Peradi",,[110],Vetha Pictures
J U L,7,Chitharikkapattavai,Ramkumar,"Ramkumar, Preethi, Thyagu",,,Visual Creation
J U L,7,Infinity,Sai Karthik,"Natty, Vidya Pradeep, Munishkanth",,[111],Menpani Productions
J U L,7,Kadapuraa Kalaikuzhu,Raja Gurusamy,"Kaali Venkat, Munishkanth, Mime Gopi",,[112],Sakti Ciinee Productions
J U L,7,Rayar Parambarai,Ramnath,"Krishna, Sharanya R Nair, Anshula Dhawan",,[113],Chinnasamy Cine Creations
J U L,7,Vil Vithai,S. Hari Uthraa,"Arun Micheal Daniel, Arathya Gopalakrishnan, Guna",,[114],Uthraa Productions
J U L,14,Annamalaiyin Porulu,Ezhumalai,"Ezhumalai, Boys Rajan, Theepetti Ganesan",,[115],Munishwaran Films
J U L,14,Baba Black Sheep,Rajmohan Arumugam,"Abdul Ayaz, Ammu Abhirami, RJ Vigneshkanth",,[116],Romeo Pictures
J U L,14,Maaveeran,Madonne Ashwin,"Sivakarthikeyan, Aditi Shankar, Yogi Babu",,[117],Shanthi Talkies
J U L,14,Netru Naan Indru Nee,B. Nithianandam,"Aadit, Vinitha, Aravindraj",,,Appa Talkies
J U L,21,Aneethi,Vasanthabalan,"Arjun Das, Dushara Vijayan, Arjun Chidambaram",,[118],Urban Boyz Studios
J U L,21,Aval Appadithan 2,Chidambaram,"Syed Abdagir, Sneha Parthibaraja, Rajeshwari",,[119],Yun Flicks
J U L,21,Echo,Nawin Ghanesh,"Srikanth, Pooja Jhaveri, Vidya Pradeep",,[120],Sri Vishnu Visions
J U L,21,Kolai,Balaji K. Kumar,"Vijay Antony, Ritika Singh, Meenakshi Chaudhary",,[121],Infiniti Film Ventures
J U L,21,Raakadhan,Dinesh Kalaiselvan,"Vamsi Krishna, Gayatri Rema, Riyaz Khan",,[122],Marudham Productions
J U L,21,Sathiya Sothanai,Suresh Sangaiah,"Premji Amaren, Swayam Siddha, Reshma Pasupuleti",,[123],Super Talkies
J U L,21,Sync,Vikas Anand Sridharan,"Kishen Das, Monica Chinnakotla, Soundarya Bala Nandakumar",,[124],Mongoose Studios
J U L,28,Appatha,Priyadarshan,"Urvashi, Siddharth Babu, Aruldoss",,,Wide Angle Creations Production
J U L,28,Aramudaitha Kombu,Jackson Raj,"Ananda Kumar, Jesi Rathnavathy, Shanmuga Sundaram",,,US Fruits
J U L,28,DD Returns,S. Prem Anand,"Santhanam, Surbhi, Redin Kingsley",,[125],RK Entertainment
J U L,28,Dinosaurs,M. R. Madhavan,"Udhay Karthik, Rishi Rithvik, Saipriya Deva",,[126],Galaxy Pictures
J U L,28,LGM,Ramesh Thamilmani,"Harish Kalyan, Nadhiya, Ivana",,[127],Dhoni Entertainment
J U L,28,Love,R. P. Bala,"Bharath, Vani Bhojan, Vivek Prasanna",,[128],RP Films
J U L,28,Pizza 3: The Mummy,Mohan Govind,"Ashwin Kakumanu, Pavithrah Marimuthu, Gaurav Narayanan",,[129],Thirukumaran Entertainment
J U L,28,Terror,Arasu,"Arasu, Suhana Gowda, Karate Raja",,,R Pictures International
J U L,28,Yokkiyan,Saiprabha Meena,"Jai Akash, Kushi Mugar, Chaams",,,Moon Star Pictures
A U G,4,Kallarai,A. B. R.,"Sogoramesh, Deepthi Dewan, Pudhupettai Suresh",,[130],Good News Films
A U G,4,Lockdown Diarie,Jolly Bastian,"Vihaan Jolly, Neha Saxena, Sahana Sajad",,,Ankitha Productions
A U G,4,Priyamudan Priya,A. J. Sujith,"Ashok Kumar, Leesha Eclairs, Suresh",,[131],Golden Glory Movies
A U G,4,Saandrithazh,J. V. R.,"Harikumar, Roshan Basheer, Ashika",,[132],Vettrivel Cinemas
A U G,4,Web,N. Haroon Rasheed,"Natty, Shilpa Manjunath, Rajendran",,[133],Velan Productions
A U G,10,Jailer,Nelson,"Rajinikanth, Vinayakan, Ramya Krishnan, Vasanth Ravi",,[134],Sun Pictures
A U G,11,Vaan Moondru,A. M. R. Murugesh,"Delhi Ganesh, Leela Samson, Aadhitya Bhaskar",,[135],Cinemakaaran
A U G,18,Broken Script,Giovanni Singh,"Rio Raj, Moon Nila, Gunalan Morgan",,[136],Streetlight Pictures
A U G,18,Vivasayi Ennum Naan,P. Pachamuthu,"Poovarasan, Saravanan, Vela Ramamoorthy",,,PKS Production
A U G,25,3.6.9,Shiva Madhav,"K. Bhagyaraj, PGS, Black Pandi",,[137],PGS Production
A U G,25,Adiyae,Vignesh Karthick,"G. V. Prakash Kumar, Gouri Kishan, Venkat Prabhu",,[138],Maali & Manvi Movie Makers
A U G,25,Black 'n' White,S. Dheekshi,"Karthik Raj, Arthika, Shravnitha",,,K Studios
A U G,25,Kakkan,Prabhu Manikkam,"Joseph Baby, Manigandan, Bakhrudeen",,[139],Shankar Movies International
A U G,25,Partner,Manoj Damodharan,"Aadhi Pinisetty, Hansika Motwani, Yogi Babu",,[140],Royal Fortuna Creations
A U G,25,Ramar Palam,M. Shanmugavel,"Madhu, Nikita, Shanmugavel",,,Cinema Company
A U G,26,Harkara,Ram Arun Castro,"Kaali Venkat, Ram Arun Castro, Gowthami Chowdhry",,[141],Kalorful Beta Movement
S E P,1,Karumegangal Kalaigindrana,Thangar Bachan,"Bharathiraja, Gautham Vasudev Menon, Yogi Babu",,[142],VAU Media Entertainments
S E P,1,Kick,Prashant Raj,"Santhanam, Tanya Hope, Brahmanandam",,[143],Fortune Films
S E P,1,Lucky Man,Balaji Venugopal,"Yogi Babu, Veera Bahu, Raichal Rebecca",,[144],Think Studios
S E P,1,Paramporul,C. Aravind Raj,"R. Sarathkumar, Amitash Pradhan, Kashmira Pardeshi",,[145],Kavi Creations
S E P,1,Rangoli,Vaali Mohandas Murugan,"Hamaresh Sathish, Prarthana Sandeep, Murugadoss",,[146],Gopuram Studios
S E P,7,Tamil Kudimagan,Esakki Karvannan,"Cheran, Lal, Sri Priyanka",,[147],Lakshmi Creations
S E P,8,Angaaragan,Mohan Dachu,"Sathyaraj, Sreepathy, Reina Karad",,[148],Primerose Entertainments
S E P,8,Noodles,Madhan Dakshinamoorthy,"Harish Uthaman, Sheela Rajkumar, SJ Aazhiva",,[149],Rolling Sound Pictures
S E P,8,Oongi Adicha Ondra Ton Weightu Da,G. Siva,"G. Siva, Hima Sree",,,JSAM Cinemas
S E P,8,Red Sandalwood,Guru Ramaanujam,"Vetri, Diyaa Mayuri, M. S. Bhaskar",,[150],JN Cinemas
S E P,8,Striker,S. A. Prabhu,"Justin Vijay, Vidya Pradeep, Abinayasri",,[151],ASW Creations
S E P,8,Thudikkum Karangal,Velu Doss,"Vimal, Misha Narang, Sathish",,[152],Odiyan Talkies
S E P,15,Aanmeega Azhaippu,Sathyamoorthy Jeyaguru,"Sathyamoorthy Jeyaguru, Subiksha, Aadesh Bala",,,Sathya Sudha Creations
S E P,15,En 6 Vaathiyaar Kaalpanthatta Kuzhu,S. Hari Uthraa,"Sharath, Ayraa, Ganja Karuppu",,[153],PSS Productions
S E P,15,Mark Antony,Adhik Ravichandran,"Vishal, S. J. Surya, Ritu Varma",,[154],Mini Studio
S E P,15,Parivarthanai,S. Manibharathi,"Surjith, Swathi, Rajeshwari",,[155],MSV Productions
S E P,22,Aima,Rahul R. Krishna,"Yunus Mohammed, Evlin Juliet, Shanmugam Ramaswamy",,[156],Tamil Exotic Films
S E P,22,Are You Ok Baby?,Lakshmy Ramakrishnan,"Samuthirakani, Abhirami, Mysskin",,[157],Monkey Creative Labs
S E P,22,Demon,Ramesh Pazhanivel,"Sachin Mani, Abarnathi, Ashvin Raja",,[158],Window Boys Pictures
S E P,22,Kadathal,Salangai Durai,"Damodharan, Vithisha, Nizhalgal Ravi",,,South Indian Productions
S E P,22,Kezhapaya,Yazh Gunasekaran,"Kathiresakumar, Krishna Kumar, Vijaya Ranadheeran",,,Raamson Cine Creations
S E P,22,Maal,Dinesh Kumaran,"Asraf, VJ Pappu, Gowri Nandha",,,Kovai Film Mates
S E P,22,Ulagammai,V. Jayaprakash,"Gouri Kishan, Vetri Mithran, G. Marimuthu",,,Madras Digital Cinema Academy
