Opening,Opening.1,Title,Director,Cast,Genre,Producer,Ref
D E C E M B E R,7,Kodiveeran,M. Muthiah,"Sasikumar, Vidharth, Mahima Nambiar, Poorna, Sanusha",Action drama,Company Productions,[188]
D E C E M B E R,8,12-12-1950,Selva,"Selva, Thambi Ramaiah, John Vijay, Ramesh Thilak",Comedy,Jyo Star Enterprises,[189]
D E C E M B E R,8,Richie,Gautham Ramachandran,"Nivin Pauly, Natarajan Subramaniam, Shraddha Srinath",Crime thriller,Cast N' Crew & Yes Cinema Company,[190]
D E C E M B E R,8,Sathya,Pradeep Krishnamoorthy,"Sibi Sathyaraj, Remya Nambeesan, Varalaxmi Sarathkumar",Crime thriller,Naathambal Film Factory,[191]
D E C E M B E R,8,Sol,Vijaya Bavannan,"Vijaya Bavannan, Anjana Raj",Drama,Semmozhi Kalaikkudil,[192]
D E C E M B E R,14,Maayavan,C. V. Kumar,"Sundeep Kishan, Lavanya Tripathi, Jackie Shroff",Action drama,Thirukumaran Entertainment,[193]
D E C E M B E R,15,Aruvi,Arun Prabu Purushothaman,"Aditi Balan, Lakshmi Gopalswami, Shwetha Shekar",Social drama,Dream Warrior Pictures,[194]
D E C E M B E R,15,Brahma.com,P. S. Vijayakumar,"Nakul, Ashna Zaveri, Neetu Chandra",Comedy,Ganesh Dream Factory,[195]
D E C E M B E R,15,Chennai 2 Singapore,Abbas Akbar,"Gokul Anand, Rajesh Balachandiran, Anju Kurian",Romantic comedy,Media Development Authority,[196]
D E C E M B E R,15,Kida Virundhu,Thamizh Selvan,"Prakash, Shalini, G. M. Kumar, Ganja Karuppu",Drama,KPN Films,[197]
D E C E M B E R,15,Palli Paruvathile,Vasudev Bhaskar,"Nandanram Narayanan, Venba, R. K. Suresh, Urvashi",Drama,Connect Film Media,[198]
D E C E M B E R,22,Sakka Podu Podu Raja,Sethuraman,"Santhanam, Vaibhavi Shandilya, Vivek",Comedy,VTV Productions,[199]
D E C E M B E R,22,Velaikkaran,Mohan Raja,"Sivakarthikeyan, Fahadh Faasil, Nayanthara, Prakash Raj, Sneha",Thriller,24AM Studios,[200]
D E C E M B E R,22,Imai,Vijay K Mohan,"Sarish, Akshya Priya",Action drama,J & B Family Productions,[201]
D E C E M B E R,29,Balloon,Sinish,"Jai, Anjali, Janani Iyer",Horror,70mm Entertainment & Farmer's Master Plan Productions,[202]
D E C E M B E R,29,Kalavaadiya Pozhuthugal,Thangar Bachan,"Prabhu Deva, Bhumika Chawla, Prakash Raj",Drama,Ayngaran International,[203]
D E C E M B E R,29,Sangu Chakkaram,Maarison,"Dhilip Subbarayan, Geetha, Raja, Pradeep",Horror comedy,Cinemawala Pictures & Leo Visions,[204]
D E C E M B E R,29,Ulkuthu,Caarthick Raju,"Dinesh, Nandita Swetha, Dhilip Subbarayan, Bala Saravanan",Action,PK Film Factory,[205]
